"dbn","school","school_type","report_type","principal","superintendent","colocated","colocated_dbns","Universal Literacy","Algebra for All","AP for All","College Access for All (MS)","College Access for All (HS)","Computer Science for All","Single Shepherd","District Charter Partnership","MSQI","Learning Partners","Showcase","Community School","PROSE","Consortium School","Gifted and Talented","Dual Language or Transitional","New Arrivals","Mastery Collaborative","admission_method","Phase out","Renewal","Receivership","Rise","federal_accountability_status","district","bfsc"
02M033,P.S. 033 Chelsea Prep,Elementary,EMS,Chingchien Wang,Bonnie Laboy,1,75M138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,EMS,Susan Felder,Bonnie Laboy,1,02M255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M041,P.S. 041 Greenwich Village,Elementary,EMS,Kelly Shannon,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M042,P.S. 042 Benjamin Altman,Elementary,EMS,May Lee,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M047,47 The American Sign Language and English Secondar,High School,HS,Watfa Shama,Marisol Rosales,1,"02M347, 75M138",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Screened,0,,,,Good Standing,02,MFSC
02M051,P.S. 051 Elias Howe,Elementary,EMS,Ryan Bourke,Bonnie Laboy,1,75M094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M059,P.S. 059 Beekman Hill International,Elementary,EMS,Adele Schroeter,Bonnie Laboy,1,"02M630, 75M169",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M077,P.S. 77 Lower Lab School,Elementary,EMS,Sandra Miller,Bonnie Laboy,1,02M198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,K: Gifted & Talented School,0,,,,Good Standing,02,MFSC
02M089,P.S. 89,Elementary,EMS,Veronica Najjar,Bonnie Laboy,1,02M289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M104,J.H.S. 104 Simon Baruch,Middle,EMS,Rocco Macri,Bonnie Laboy,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS: Screened,0,,,,Good Standing,02,MFSC
02M111,P.S. 111 Adolph S. Ochs,Elementary,EMS,Edward Gilligan,Bonnie Laboy,1,84M263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M114,East Side Middle School,Middle,EMS,David Getz,Bonnie Laboy,1,75M138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS: Screened,0,,,,Good Standing,02,MFSC
02M116,P.S. 116 Mary Lindley Murray,Elementary,EMS,Jane Hsu,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M124,P.S. 124 Yung Wing,Elementary,EMS,Alice Hom,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
